# columns: SSS BBB CCC PPP
# SimName (with replacables)     BBB.par2         CCC PPP
# Base cosmology, secondary suite
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  250 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  250 313
AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     251 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  251 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  251 313

AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     252 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  252 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  252 314
AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     253 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  253 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  253 314

# And now the bilateral changes involving omega_b

AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     254 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  254 312
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  254 314
AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     255 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  255 312
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  255 314

AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     256 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  256 312
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  256 315
AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     257 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  257 312
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  257 315

AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     258 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  258 312
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  258 316
AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     259 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  259 312
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  259 316

AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     260 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  260 312
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  260 300
AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     261 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  261 312
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  261 300


# Ad hoc core-4 
# DESI best-fit LCDM
AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     210 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  210 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  210 312
